id,bom_line_ids/id,bom_line_ids/product_id/id,bom_line_ids/product_qty,bom_line_ids/product_uom_id/id,product_tmpl_id/id,product_uom_id/id,product_qty
init.f873841e-d521-4e07-a9c6-642da98eb615,init.8b38e187-fb85-400d-a640-0a54b6ba78cd,init.1ea3f276-d4e0-4fd2-b8e1-ef3087b795a3,10,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.f3417290-fb56-4741-a079-e19b56c015d9_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,1
init.9a7d023d-ce24-476f-ab7c-0968292470a5,init.f90676d1-ca78-4bad-867f-b6ff7307720e,init.8f36899f-a769-44ce-894d-de7dfffee188,10,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.20a2cc9b-7d7b-460f-8092-79af1a36ce47_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,1
init.a1206578-4131-44ba-9578-db2226ea572c,init.28fe3101-0b71-4460-a14a-708f71a22610,init.12f07c4d-44ec-4628-b07e-7c90db8ff890,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.7f069580-c3e3-4f38-8ffb-9886ef72b0b9_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.7a82725b-51ed-4415-8b8f-45609e9a71a8,init.594ace23-0e76-472b-bd2c-b3ed94cf3593,init.7f16bf13-e5ff-4a43-8a1f-68bb2cbfaa1f,20,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.1672fb6f-7e42-4368-9809-b8e19467eabe_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,1
init.1e065ccc-84c0-410c-a9a1-981429e97208,init.a4155b2f-2bef-4857-9f79-d72ca4ec3baa,init.709edd69-a210-4f7b-8ff5-da4a39fdb4a4,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.9e7e2f44-aa5e-4bf5-b840-0bab5a417d63_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.c10077a2-c65d-4355-a897-d3a20bf377aa,init.4beea726-1cff-4927-a2b7-bbbf37e591fd,init.4ffe5787-bf8e-446b-8ec3-9fdcbbfa2ab1,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.e7c9e967-deb8-4eea-ba29-e681b9655c8c_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.ddfd2ad1-4065-4e0d-8173-675a1c16653d,init.8c3d0216-5ca3-4c3d-a450-22f7fa417f95,init.8c3d0216-5ca3-4c3d-a450-22f7fa417f95,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.45ddaf4f-067b-4ffc-903c-e928473a5481_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.8750bbf5-717a-463a-b965-e1acf08822a2,init.facb7401-95f1-4cb2-b542-66f995cf60ab,init.fc795c4d-db08-4a9d-81af-602420e54bbc,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.9519a3fd-647d-4cf9-8ce5-b8000dd13e39_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.3912e1f5-ff26-4497-ba37-f0aa5ca6beca,init.038f79e7-dfc4-42e7-8179-60e491e74484,init.906ef1a7-42b3-421e-819b-a2b58c84e25f,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.1c1125fc-55a3-4c37-9b52-fb11af3e7537_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
init.b103ad03-30e7-40e0-aacd-d6cd8b12d12e,init.afd49b6e-e4f9-46f9-b5fb-5a2faa7de956,init.01d95151-b38e-4324-a1d6-872d004a39b8,30,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.abaf460e-aa00-40e2-aa9c-c06d7347fe13_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,1
