id,name,categ_id/id,type,uom_id/id,uom_po_id/id,purchase_ok,sale_ok,tracking,use_expiration_date,invoice_policy
init.84ba67a3-4ad3-433d-a463-1fa9d46bad5f,Aciclovir 200mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.1a3d9c2d-7067-4d68-8f5c-70c4afea89d1,Aciclovir 200mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.fc30b4e5-475e-46ea-91fe-a438d68cfc04,Acide Ascorbique (Vit C) 1000mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,Ordered quantities
init.10a9b381-7926-459c-94ff-c81440430fbf,Acide Ascorbique (Vit C) 1000mg (PAQ/10),product.categ_products_drug_orders,product,init.50d348c0-9290-4339-ad55-9a752ad65b1e,init.50d348c0-9290-4339-ad55-9a752ad65b1e,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.fac85220-003b-4f2c-a6d6-7acfe219d47d,Acide Ascorbique (Vit C) 100mg/ml Gtte (Flacon),product.categ_products_drug_orders,product,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.f548d5aa-95a5-46ec-823e-fed422dfcbdc,Acide Ascorbique (Vit C) 500mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.a43bee20-418c-4c5a-af26-879645670104,Acide Ascorbique (Vit C) 500mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.4274555e-9f6e-471e-a42d-1ef76255f9b8,Acide Ascorbique (Vit C) 500mg/5ml Sirop (Flacon),product.categ_products_drug_orders,product,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.60153e60-0b65-40f4-be54-2a02b92d2eba,Acide Ascorbique (Vit C) Injectable (Vial),product.categ_products_drug_orders,product,init.d7218e57-1380-43f6-bd39-2df185ec53d2,init.d7218e57-1380-43f6-bd39-2df185ec53d2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.de4c409b-7d37-48a7-aecc-302189d4ab03,"Acide borique, Antipyrine, Benzocaine (othorinol) 80mg/ml (Flacon/10ml)",product.categ_products_drug_orders,product,init.935819ff-0126-4e64-b7ff-1948a5c7317e,init.935819ff-0126-4e64-b7ff-1948a5c7317e,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.9241d8ee-2fa4-4965-a6ca-8426beffe8a2,"Acide borique, Antipyrine, Ephedrine (ophtalnol) 33.65mg/ml (Flacon/30ml)",product.categ_products_drug_orders,product,init.61809dab-d60c-4f3a-9f0a-d33c7c7f1925,init.61809dab-d60c-4f3a-9f0a-d33c7c7f1925,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.1f5f39fc-497e-462d-a09f-070b6ca8e0a0,Acide Folique 5mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.4881b787-630a-46e1-ad43-ddfc2b810da7,Acide Folique 5mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
