id,name,categ_id/id,type,purchase_ok,sale_ok,invoice_policy
init.a37a10c5-b5e6-48bf-9b54-dec61c6bb228,Abces de la marge anale,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.06a9ab43-e0d3-4ca3-85f5-f276437e44d5,Abces du Sein,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.ca7dc7a0-0fcf-45e4-99a8-a4060b3df2f2,Absces du Psoas,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.b30a14d3-de78-4ccb-b6d9-26028a9474e0,Absces intra musculaire,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.e646c4ac-61c6-4e28-8ef0-fc9e300fd356,Absces ischion-rectal,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.ff24865a-3b1c-4535-a237-a9d1c5446766,Absces pilonidal,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.48dedfe4-096b-4167-9a9f-0601479f8bea,Absces residuel abdominal,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.74d18eb5-8cc8-47f2-86f2-acd90e0ccc83,Absces sous cutané,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.c75be2cb-a405-455f-a95e-0389763dcc2d,ADF (Lympectomie),product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.01af89db-d57c-4a6f-8454-8a8d5b7079e8,Amputation Avant-Bras,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.fdfc9fc4-d988-4f0f-82cb-4e9ca87feb96,Anoplastie,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.3adc220d-6c23-466e-8099-d1523f619cd7,Anthrax,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.5b956ec1-6fc7-478e-9107-78d6bb8ea6a8,Appendicectomie,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.89896dd2-365e-412e-b31c-161651280e56,Caecostomie,product.categ_services_general_surgery_orders,service,FALSE,TRUE,Ordered quantities
