id,name,categ_id/id,type,purchase_ok,sale_ok,invoice_policy
init.718f246c-add5-469e-abf1-38a4088a290a,Biospsie Cyst mandibular,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.5a3459bb-5e97-487c-abcd-60c5170d24aa,Drainage Kyste de la Mâchoire,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.8da72e40-0713-4996-8142-998543264b9d,Exérèse d'une partie de la Mâchoire,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.ab404219-1963-4041-bffb-2d609409523d,Exérèse Tumeur de la face,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.926e6279-8e93-4ea3-9277-f74dc2c60eaa,Fracture Vomer,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.133d27f6-3510-44cb-869a-4a5215c058ff,Greffe de la Mâchoire,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.76f2224e-bdcc-43ce-9896-d9358ceea341,Reconstruction Fente Labiale,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.7941561b-c719-43f8-bee6-ba40a8ae0f2c,Reconstruction Fente Palatine,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.a470ffc0-4639-495a-acbf-d185d89c8f38,Reconstruction Tongue,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.e6dff466-84c2-4b09-bcb0-edc20e00cca9,Résection Cyst Facial,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.a99108be-b376-4646-81f9-06cb274ccb21,Submandibular glande Résection,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.97abd667-2ca1-42b7-85bb-576229d9a221,Apicoéctomie,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.1e0685e6-1599-42d1-9566-054236dd8006,Chirurgie des dents incluses,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.218f8b35-b4d0-473a-bae3-b43326a5b3f1,Chirurgie des dents semi-incluses,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.ad0a0657-baec-41e2-9638-bf51d68e9f90,Chirurgie des petites tumeurs bénignes des tissus mous,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.15c2b536-8923-47fa-9486-3b36c4f73cd5,Chirurgie périapicale,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.ad1e186b-59e0-44de-8d38-6bbc95df6f13,Chirurgie préprothétique,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.8fbe3366-9b61-4782-929e-e922c7a7bdb5,Fracture de Lefort I,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.7bebe672-17ef-4dc9-8998-4519a738a980,Fracture de Lefort II,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.941f4b5b-74a1-4d98-aaea-b581cb2ac973,Fracture de Lefort III,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.88333bde-fe5f-4d5e-8e2a-1775e7d14166,Fracture mandibulaire,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.d194eaea-f26a-4e2b-9384-03f4b5057b2c,Fracture nasale,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.aa50f047-f4a5-4a88-9f96-c8a7c808420d,Fracture zygomatique,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.ac9f9c72-a6ef-47b5-a8dd-1f4c7e876193,Rhinoplastie,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.874ac10c-ac71-493c-8820-3580d6391e95,Tumeur bénigne du tissu mous,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.eb9ea243-ac26-418e-9cb3-c1df2edc7379,Tumeur bénigne du tissu osseux,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.b87d316c-45ad-4680-a1e2-6ab531e26ebf,Tumeur du tissu osseux + tissus mous,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
init.a1a4f8af-fb15-4b66-83e3-fd48d566ef41,Tumeur maligne de la cavité buccale,product.categ_services_maxillo_orders,service,FALSE,TRUE,Ordered quantities
