id,name,categ_id/id,type,purchase_ok,sale_ok,invoice_policy
init.bfbabb37-c7b7-4577-9e4a-5dea413d5694,Accouchement simple,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.5988a452-e945-4261-acbc-e039bcd095b3,Accouchement simple + Episio,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.6232db80-2575-4bf5-9560-19b2587217bf,Annexectomie,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.3a7e96d2-db84-4b09-86e9-adf9128d4aa0,Biopsie endometriale en salle,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.76147019-540f-4e05-81a2-3fd176417331,Biopsie endometriale,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.55571698-9722-4c57-bb6c-b4c8369fa3ad,Cerclage,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.8e8abf4e-1199-410c-8d79-d51b38a872d4,Césarienne,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.af0349b6-686e-4b7f-a151-167df0295c81,Césarienne + Hysterectomie,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.665c4027-021c-4397-b65e-66b0733a993f,Colposcopie simple,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.8a5a7f03-3ab7-405e-aed2-b7d4fe300670,Colposcopie + Biopsie,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.ffe2449e-b66b-42de-b1bc-86040fef73ae,Condylome vulvaire (cauterisation),product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.773c2ab1-c9c1-4876-bb17-36e763209ce2,Conisation,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.5eb48539-7d52-4609-95a9-e8edae2773ba,Cryotherapie,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.5e0e50bc-9364-4e9f-a28a-1f97f2917bbc,Curage Digital,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.361d4a11-ca9f-4830-acb5-fb959c1b4b80,Curetage thérapeutique,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.185cc2f1-7eae-4deb-9851-31be4b94daa0,Curetage thérapeutique/Avortement Provoqué Septique,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.61e562b8-4c84-4116-b325-1a4fa0ab64a1,Curetage thérapeutique/avortement spontané,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.94339316-690b-47e0-8e09-c0198d3e1e37,Délivrance Artificielle (accouchement hors HSC),product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.52729d23-a532-42c5-af9c-7c4fafa5df24,Délivrance Spontanée( accouchement hors HSC),product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.6e665070-8fd6-42cf-af2f-13ed6ab27abf,Exerese masse pubienne,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.d02d63ba-6431-4ab0-8d20-3bee88fdaf36,Fistule recto-vaginal hors l'HSC,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.6859c6e0-2a91-4190-844d-d40737e0ca3a,Fistule recto-vaginal à l'HSC,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.e964f3b1-2799-4f4c-a63a-6815f0be74f1,Fistule vesico-vaginal à l'HSC,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.eb09ef62-c658-441d-8410-81109d70b9be,Fistule vesico-vaginal hors l'HSC,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.163df084-f674-44bc-8634-6bc051c21da7,Grossesse Extra Utérine/ectopique,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.64a35de2-1d8f-4c5a-81e1-9ad6b2ff040e,Hymenectomie,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.63c35e69-9ce6-41c3-ba0d-cdff67175edb,Hysterectomie & Ovariectomie,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.85fedea4-6b8c-4e5b-a701-8c6553b33468,Hystérectomie Abdominale ou Totale,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.cafc67a9-2f2a-498d-a79c-265d972c82bf,Hystérectomie Radicale ( Wertheim),product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.70ed8828-d53c-4078-9190-675e8b0e4587,Hystérectomie Totale + Annexectomie Bilatérale,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.e2f49bb3-3f01-4dc8-b4e3-4c5525ec0743,Hystérectomie Vaginale,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.e6841b5f-74c5-46ff-9822-13ae3becd127,Insertion Pessaire,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.8a9abcf2-77fd-4964-a7fd-a7f2b4d5606f,Kystectomie bilaterale,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.db1e0d1b-faed-4383-97db-ab54bc483758,Laparotomie exploratrice,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.028f475f-657d-4a48-9a4e-37d33867b3db,Leep,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.d79e6c23-8518-499c-92ba-79feac42d8f7,Leep (kyste cervical),product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.b30cd7da-da89-41b4-a099-cf42a54e6438,Marsupialisation /Bartholimit,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.f4d5e4cc-76f1-400a-95d8-bfab6674f2e6,Myomectomie,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.e21ab1eb-e269-47d2-8f15-c04a7864a561,Myomectomie Reprise (1ère intervention à l'HSC),product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.f0f22d75-b5c3-4447-83e0-fddf48727dbd,Myomectomie Reprise (1ère intervention hors de l'HSC),product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
init.b374105c-4777-46b3-9af4-78e598582d74,Ovariectomie bilaterale,product.categ_services_obstetrics_orders,service,FALSE,TRUE,Ordered quantities
