id,name,categ_id/id,type,purchase_ok,sale_ok,invoice_policy
init.eb874096-70da-4fbc-a89f-c7611a5280a7,Allongement de membre inférieur,product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.6505a44e-5405-4031-9b1a-778d36a58811,Allongement tendineux,product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.4031be8f-a52c-4cf5-bd56-91b6f91d1565,AMO sur demande du patient (Broche),product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.6366225b-ab78-4513-b9fa-bb6a166c4b55,AMO sur demande du patient (ECM),product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.97302d3e-89e2-45cc-9a98-5777c4d202a7,AMO sur Fd d'infection (1ère intervention  à l'HSC),product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.9c2c3ba9-5240-421e-a53f-2159f0243c79,AMO sur Fd d'infection (1ère intervention hors de l'HSC),product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.97ccf29b-b949-462f-b4bd-95efdd3e7441,Amputation bras,product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.a9283050-20d3-4fc3-8172-d2c49c54f36c,Amputation Doigts,product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.32c7a6ce-b7f3-48ff-ad9c-79df4ca49360,Amputation du pied (lis franc),product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.a69d88b1-281b-4535-a431-809e4fae535c,Amputation orteil,product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.3adfe531-3235-4c45-8661-4994c497cc38,Amputation Phalange,product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.eb6fcf84-19f0-4ed3-ac7e-1d7a772d01a9,Amputation trans huméral,product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
init.93c675b4-d25f-484d-96fd-194d8ed98d4d,Amputation trans radio-ulnaire,product.categ_services_orthopedics_orders,service,FALSE,TRUE,Ordered quantities
