id,name,categ_id/id,type,purchase_ok,sale_ok,invoice_policy
init.80ed3b50-0116-4eef-b55a-be234ab44478,Bec de lièvre Réparation,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.229c5e7d-00b4-4de5-a754-9da64bac9099,Chéloide Multiple,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.4db771df-22bf-46e2-afb6-2f7b78a567bf,Excision Chéloide +Réparation esthetique,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.e2e535b9-637d-4ba1-90db-a18c8a786d4e,Fissure palatine Réparation,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.c82b7334-099d-4199-bce1-ffe156887efd,Hémangiome fesse ou Neuro-fibromateux fesse,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.598b4e67-b605-45c9-9bf5-1877cf21211b,Plastie Vaginale,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.e7008425-9ac2-47d1-84d7-5ec0de8f0d9f,Reconstruction Cuisse,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.ab74e533-9e8d-467b-a329-3c42730275bc,Reconstruction Abdomen,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.4de2d738-dfe8-4fe8-a6d9-4401eba8c534,Reconstruction Cou,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.321408b0-2d73-4c8d-86df-14920395967c,Reconstruction Dos,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.006a3b54-7d55-415d-868d-493aab21cdf8,Reconstruction Face,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.8876184d-ac8c-4a24-a659-76e94ca339db,Reconstruction Pied (ortho),product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.931112b7-714c-404e-8d42-dd4fdc6c7214,Reconstruction Tendon d'Achille (ortho),product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.975111ff-d4b6-4a34-ae61-a5e738dcb39d,Reconstruction Thorax,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.3c0bc91e-4e5b-446f-b20d-c5656f96870b,Réduction Mammaire,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.5a10c48c-6b84-4ad1-87ec-e8e902f18ab9,Skin Graft Petite étendue,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
init.93485053-fe58-44f6-b95d-d8bbf6c26ff6,Skin Graft grande étendue,product.categ_services_plastic_surgery_orders,service,FALSE,TRUE,Ordered quantities
