id,name,categ_id/id,type,purchase_ok,sale_ok,invoice_policy
init.e354e5a6-0f74-4e69-a5d8-6fdd3ca4bcc2,Ablation des Agraffes,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.7a29215f-157d-438f-9cf5-aa8e90452018,Ablation des fils de suture,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.b3e11605-3977-4308-a59c-0bd28d4b2626,Alèze,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.31cc0fa6-0fe1-4069-b751-d028d1974ea4,Canule Nasale,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.76b4bdd9-5e60-47ef-af8d-40cb6354d20f,Catheter à succion,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.4d3bbd1d-80ea-4013-b527-2e00e614ca5a,Cathetérisme ombilicale,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.ebcae73e-8afa-43f5-9f76-5035233f622d,Cathetérisme vesical continu,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.88c71bfc-592f-4147-acfd-adac65fac894,Cathetérisme vesical intermitent,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.9e95f5f8-a0cf-4136-963a-9f3aafcc2878,CPAP/par jour,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.5a4c17ce-8305-4ea4-baca-0db107ae5ec2,Cystoscopie,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.65705411-b0b0-4f5f-bdd9-aa3a7fb64a25,Déplatrage court Menbres inf,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.ab20b3e2-6502-4b36-80d5-241974bb458c,Déplatrage court Menbres sup,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.4cb8969b-1005-4e96-84bf-485aa9c7c118,Déplatrage long Menbres inf,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.6ca9d66f-fb17-4705-837e-b04269c142d8,Déplatrage long Menbres sup,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.c78f9a34-e6cc-4149-8b94-26680d375e75,Mise en Echarpe,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
init.ad9757f8-7419-4b4a-b563-8be18abcfad8,Enlèvement fixateur Externe-En clinique,product.categ_services_procedure_orders,service,FALSE,TRUE,Ordered quantities
