Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
43cc229d-67c2-46b9-814b-6c24a6df87ac,,,Amalgame,Amalgame,Amalgame,Amalgame,,,Odontology,Text,,,,,,,,,,,
ebb79c2a-34bd-4f26-a667-24cfc953603a,,,Composite,Composite,Composite,Composite,,,Odontology,Text,,,,,,,,,,,
bd51e00d-95b7-4003-9152-98f0120df4da,,,Décapuchonage,Décapuchonage,Décapuchonage,Décapuchonage,,,Odontology,Text,,,,,,,,,,,
3779d078-f897-4144-b608-83e5c8279d4e,,,Drainage d'abcès dentaire,Drainage d'abcès dentaire,Drainage d'abcès dentaire,Drainage d'abcès dentaire,,,Odontology,Text,,,,,,,,,,,
a0d101bf-96e4-4925-a969-1848b49e6f14,,,Endodontie antérieure,Endodontie antérieure,Endodontie antérieure,Endodontie antérieure,,,Odontology,Text,,,,,,,,,,,
c47c0d66-9285-412d-9f0c-ca9442342500,,,Endodontie postérieure,Endodontie postérieure,Endodontie postérieure,Endodontie postérieure,,,Odontology,Text,,,,,,,,,,,
57eb21e5-e4c9-4672-8017-e640154bcefc,,,Extraction dentaire complexe,Extraction dentaire complexe,Extraction dentaire complexe,Extraction dentaire complexe,,,Odontology,Text,,,,,,,,,,,
4d6a7e4a-e893-48f8-828c-3624cadc6e33,,,Extraction dentaire simple,Extraction dentaire simple,Extraction dentaire simple,Extraction dentaire simple,,,Odontology,Text,,,,,,,,,,,
b767a14b-59ae-4a2b-8b0b-80dba28a12ac,,,Prophylaxie dentaire grade 1,Prophylaxie dentaire grade 1,Prophylaxie dentaire grade 1,Prophylaxie dentaire grade 1,,,Odontology,Text,,,,,,,,,,,
43b84cb6-9176-4902-afc8-6cb60773508b,,,Prophylaxie dentaire grade 2,Prophylaxie dentaire grade 2,Prophylaxie dentaire grade 2,Prophylaxie dentaire grade 2,,,Odontology,Text,,,,,,,,,,,
a4d39ed5-23bc-403d-9f76-66a9291c2173,,,Prophylaxie dentaire grade 3,Prophylaxie dentaire grade 3,Prophylaxie dentaire grade 3,Prophylaxie dentaire grade 3,,,Odontology,Text,,,,,,,,,,,
b3a9d1e3-fc5e-45a2-8d33-f78395c42034,,,Radiographie dentaire,Radiographie dentaire,Radiographie dentaire,Radiographie dentaire,,,Odontology,Text,,,,,,,,,,,
930d856f-fdb0-423e-bf65-4aba8c06a941,,,Radiographie panoramique,Radiographie panoramique,Radiographie panoramique,Radiographie panoramique,,,Odontology,Text,,,,,,,,,,,
8829a43d-9e22-4edf-9e0c-c0a9f6b6d7b0,,,Decapuchonnage,Decapuchonnage,Decapuchonnage,Decapuchonnage,,,Odontology,Text,,,,,,,,,,,
