Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
718f246c-add5-469e-abf1-38a4088a290a,,,Biospsie Cyst mandibular,Biospsie Cyst mandibular,Biospsie Cyst mandibular,Biospsie Cyst mandibular,,,Maxillofacial,Text,,,,,,,,,,,
5a3459bb-5e97-487c-abcd-60c5170d24aa,,,Drainage Kyste de la Mâchoire,Drainage Kyste de la Mâchoire,Drainage Kyste de la Mâchoire,Drainage Kyste de la Mâchoire,,,Maxillofacial,Text,,,,,,,,,,,
8da72e40-0713-4996-8142-998543264b9d,,,Exérèse d'une partie de la Mâchoire,Exérèse d'une partie de la Mâchoire,Exérèse d'une partie de la Mâchoire,Exérèse d'une partie de la Mâchoire,,,Maxillofacial,Text,,,,,,,,,,,
ab404219-1963-4041-bffb-2d609409523d,,,Exérèse Tumeur de la face,Exérèse Tumeur de la face,Exérèse Tumeur de la face,Exérèse Tumeur de la face,,,Maxillofacial,Text,,,,,,,,,,,
926e6279-8e93-4ea3-9277-f74dc2c60eaa,,,Fracture Vomer,Fracture Vomer,Fracture Vomer,Fracture Vomer,,,Maxillofacial,Text,,,,,,,,,,,
133d27f6-3510-44cb-869a-4a5215c058ff,,,Greffe de la Mâchoire,Greffe de la Mâchoire,Greffe de la Mâchoire,Greffe de la Mâchoire,,,Maxillofacial,Text,,,,,,,,,,,
76f2224e-bdcc-43ce-9896-d9358ceea341,,,Reconstruction Fente Labiale,Reconstruction Fente Labiale,Reconstruction Fente Labiale,Reconstruction Fente Labiale,,,Maxillofacial,Text,,,,,,,,,,,
7941561b-c719-43f8-bee6-ba40a8ae0f2c,,,Reconstruction Fente Palatine,Reconstruction Fente Palatine,Reconstruction Fente Palatine,Reconstruction Fente Palatine,,,Maxillofacial,Text,,,,,,,,,,,
a470ffc0-4639-495a-acbf-d185d89c8f38,,,Reconstruction Tongue,Reconstruction Tongue,Reconstruction Tongue,Reconstruction Tongue,,,Maxillofacial,Text,,,,,,,,,,,
e6dff466-84c2-4b09-bcb0-edc20e00cca9,,,Résection Cyst Facial,Résection Cyst Facial,Résection Cyst Facial,Résection Cyst Facial,,,Maxillofacial,Text,,,,,,,,,,,
a99108be-b376-4646-81f9-06cb274ccb21,,,Submandibular glande Résection,Submandibular glande Résection,Submandibular glande Résection,Submandibular glande Résection,,,Maxillofacial,Text,,,,,,,,,,,
97abd667-2ca1-42b7-85bb-576229d9a221,,,Apicoéctomie,Apicoéctomie,Apicoéctomie,Apicoéctomie,,,Maxillofacial,Text,,,,,,,,,,,
1e0685e6-1599-42d1-9566-054236dd8006,,,Chirurgie des dents incluses,Chirurgie des dents incluses,Chirurgie des dents incluses,Chirurgie des dents incluses,,,Maxillofacial,Text,,,,,,,,,,,
