Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
bfbabb37-c7b7-4577-9e4a-5dea413d5694,,,Accouchement simple,"Accouchement simple ","Accouchement simple ","Accouchement simple ",,,Obstetrics and Gynecology,Text,,,,,,,,,,,
5988a452-e945-4261-acbc-e039bcd095b3,,,Accouchement simple + Episio,"Accouchement simple + Episio ","Accouchement simple + Episio ","Accouchement simple + Episio ",,,Obstetrics and Gynecology,Text,,,,,,,,,,,
6232db80-2575-4bf5-9560-19b2587217bf,,,Annexectomie,Annexectomie,Annexectomie,Annexectomie,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
3a7e96d2-db84-4b09-86e9-adf9128d4aa0,,,Biopsie endometriale en salle,Biopsie endometriale en salle,Biopsie endometriale en salle,Biopsie endometriale en salle,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
76147019-540f-4e05-81a2-3fd176417331,,,"Biopsie endometriale ","Biopsie endometriale ","Biopsie endometriale ","Biopsie endometriale ",,,Obstetrics and Gynecology,Text,,,,,,,,,,,
55571698-9722-4c57-bb6c-b4c8369fa3ad,,,Cerclage,Cerclage,Cerclage,Cerclage,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
8e8abf4e-1199-410c-8d79-d51b38a872d4,,,"Caesarean section (follow-up at HSC)",Césarienne (suivi à l'HSC),Césarienne (suivi à l'HSC),Césarienne (suivi à l'HSC),,,Obstetrics and Gynecology,Text,,,,,,,,,,,
af0349b6-686e-4b7f-a151-167df0295c81,,,Césarienne + Hysterectomie,"Césarienne + Hysterectomie ","Césarienne + Hysterectomie ","Césarienne + Hysterectomie ",,,Obstetrics and Gynecology,Text,,,,,,,,,,,
665c4027-021c-4397-b65e-66b0733a993f,,,Colposcopie simple,Colposcopie simple,Colposcopie simple,Colposcopie simple,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
8a5a7f03-3ab7-405e-aed2-b7d4fe300670,,,Colposcopie + Biopsie,Colposcopie + Biopsie,Colposcopie + Biopsie,Colposcopie + Biopsie,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
ffe2449e-b66b-42de-b1bc-86040fef73ae,,,Condylome vulvaire (cauterisation),Condylome vulvaire (cauterisation),Condylome vulvaire (cauterisation),Condylome vulvaire (cauterisation),,,Obstetrics and Gynecology,Text,,,,,,,,,,,
773c2ab1-c9c1-4876-bb17-36e763209ce2,,,Conisation,Conisation,Conisation,Conisation,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
5eb48539-7d52-4609-95a9-e8edae2773ba,,,Cryotherapie,Cryotherapie,Cryotherapie,Cryotherapie,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
5e0e50bc-9364-4e9f-a28a-1f97f2917bbc,,,Curage Digital,Curage Digital,Curage Digital,Curage Digital,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
361d4a11-ca9f-4830-acb5-fb959c1b4b80,,,"Curetage thérapeutique ","Curetage thérapeutique ","Curetage thérapeutique ","Curetage thérapeutique ",,,Obstetrics and Gynecology,Text,,,,,,,,,,,
185cc2f1-7eae-4deb-9851-31be4b94daa0,,,Curetage thérapeutique/Avortement Provoqué Septique,Curetage thérapeutique/Avortement Provoqué Septique,Curetage thérapeutique/Avortement Provoqué Septique,Curetage thérapeutique/Avortement Provoqué Septique,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
61e562b8-4c84-4116-b325-1a4fa0ab64a1,,,Curetage thérapeutique/avortement spontané,Curetage thérapeutique/avortement spontané,Curetage thérapeutique/avortement spontané,Curetage thérapeutique/avortement spontané,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
94339316-690b-47e0-8e09-c0198d3e1e37,,,Délivrance Artificielle (accouchement hors HSC),Délivrance Artificielle (accouchement hors HSC),Délivrance Artificielle (accouchement hors HSC),Délivrance Artificielle (accouchement hors HSC),,,Obstetrics and Gynecology,Text,,,,,,,,,,,
