Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
a8855f0e-7496-4c2b-8ce1-a5252cd09c5c,,,Cataract,Cataract,Cataract,Cataract,,,Ophtalmology,Text,,,,,,,,,,,
e0d71b2e-f47b-4799-8e7b-2278749f2619,,,Cataracte,Cataracte,Cataracte,Cataracte,,,Ophtalmology,Text,,,,,,,,,,,
d2f43828-2a52-4404-b58b-16d36e8ebd7e,,,Cataracte ECCE,Cataracte ECCE,Cataracte ECCE,Cataracte ECCE,,,Ophtalmology,Text,,,,,,,,,,,
4df1905e-1597-4f75-aa74-e9eb46bde7bd,,,Cataracte PHACO,Cataracte PHACO,Cataracte PHACO,Cataracte PHACO,,,Ophtalmology,Text,,,,,,,,,,,
ec739b82-3e0d-430d-8bd5-8a53b6aa50f0,,,Cataracte SICS,Cataracte SICS,Cataracte SICS,Cataracte SICS,,,Ophtalmology,Text,,,,,,,,,,,
32937ed3-d874-4cf1-9bb8-d61c51dfffa0,,,Chalazion,Chalazion,Chalazion,Chalazion,,,Ophtalmology,Text,,,,,,,,,,,
ea4135d7-19c5-4221-a269-782c8b44d8e6,,,Chalazion (clous),Chalazion (clous),Chalazion (clous),Chalazion (clous),,,Ophtalmology,Text,,,,,,,,,,,
3ba6e232-c584-4c07-b229-e98e32f29b2f,,,"Conjonctive, chirurgie","Conjonctive, chirurgie","Conjonctive, chirurgie","Conjonctive, chirurgie",,,Ophtalmology,Text,,,,,,,,,,,
4309907d-3090-4251-9896-13ca2f3266dd,,,Evisération Oeil,Evisération Oeil,Evisération Oeil,Evisération Oeil,,,Ophtalmology,Text,,,,,,,,,,,
57a005b8-c23b-4ee0-9099-8019796b6eeb,,,Glaucome - Laser  SLT,Glaucome - Laser  SLT,Glaucome - Laser  SLT,Glaucome - Laser  SLT,,,Ophtalmology,Text,,,,,,,,,,,
8f2c0419-e4a2-43c4-b4a2-4e153c0ffd3b,,,Glaucome/Laser,Glaucome/Laser,Glaucome/Laser,Glaucome/Laser,,,Ophtalmology,Text,,,,,,,,,,,
207a41c3-5a29-46f7-8bce-8dd9a72d90b8,,,Glaucome/Trabeculectomie,Glaucome/Trabeculectomie,Glaucome/Trabeculectomie,Glaucome/Trabeculectomie,,,Ophtalmology,Text,,,,,,,,,,,
55236fd7-f059-4608-a6cb-4801a0a834c2,,,Oeil absces / Kyste - Drainage,Oeil absces / Kyste - Drainage,Oeil absces / Kyste - Drainage,Oeil absces / Kyste - Drainage,,,Ophtalmology,Text,,,,,,,,,,,
4f98f50f-36a4-455d-83df-7265ae7e0814,,,Plaie Cornéenne/Sclérotique-Adulte,Plaie Cornéenne/Sclérotique-Adulte,Plaie Cornéenne/Sclérotique-Adulte,Plaie Cornéenne/Sclérotique-Adulte,,,Ophtalmology,Text,,,,,,,,,,,
e3703746-0e4a-4c29-aeb1-f2e536f27cf7,,,Plaie Cornéenne/Sclérotique-Enfant,Plaie Cornéenne/Sclérotique-Enfant,Plaie Cornéenne/Sclérotique-Enfant,Plaie Cornéenne/Sclérotique-Enfant,,,Ophtalmology,Text,,,,,,,,,,,
8d226514-a8c5-4fc4-96c1-51774079ca47,,,Pterygion,Pterygion,Pterygion,Pterygion,,,Ophtalmology,Text,,,,,,,,,,,
5d94a966-1691-44a0-bf06-b48860ffb758,,,Réparation Plaie de la paupière,Réparation Plaie de la paupière,Réparation Plaie de la paupière,Réparation Plaie de la paupière,,,Ophtalmology,Text,,,,,,,,,,,
6a54a9bd-6d00-47b8-953f-bd79ac63b87e,,,Bilan Ophtalmologique,Bilan Ophtalmologique,Bilan Ophtalmologique,Bilan Ophtalmologique,,,Ophtalmology,Text,,,,,,,,,,,
450ce173-ea9e-4aa9-b2dc-d8070237c1a4,,,Champs Visuel,Champs Visuel,Champs Visuel,Champs Visuel,,,Ophtalmology,Text,,,,,,,,,,,
1f450fae-2340-4d30-89bc-73ab5a139b67,,,Fondoscopie,Fondoscopie,Fondoscopie,Fondoscopie,,,Ophtalmology,Text,,,,,,,,,,,
4d6f2d17-debf-45d6-815b-b3c13f06d7cd,,,Réfraction,Réfraction,Réfraction,Réfraction,,,Ophtalmology,Text,,,,,,,,,,,
3564b9b5-39eb-4025-ba8f-d05ac5773cdb,,,Rétinoscopie,Rétinoscopie,Rétinoscopie,Rétinoscopie,,,Ophtalmology,Text,,,,,,,,,,,
