Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
eb874096-70da-4fbc-a89f-c7611a5280a7,,,Allongement de membre inférieure,Allongement de membre inférieure,Allongement de membre inférieure,Allongement de membre inférieure,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
6505a44e-5405-4031-9b1a-778d36a58811,,,Allongement tendineux,Allongement tendineux,Allongement tendineux,Allongement tendineux,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
4031be8f-a52c-4cf5-bd56-91b6f91d1565,,,AMO sur demande du patient (Broche),AMO sur demande du patient (Broche),AMO sur demande du patient (Broche),AMO sur demande du patient (Broche),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
6366225b-ab78-4513-b9fa-bb6a166c4b55,,,AMO sur demande du patient (ECM),AMO sur demande du patient (ECM),AMO sur demande du patient (ECM),AMO sur demande du patient (ECM),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
97302d3e-89e2-45cc-9a98-5777c4d202a7,,,AMO sur Fd d'infection (1ère intervention  à l'HSC),AMO sur Fd d'infection (1ère intervention  à l'HSC),AMO sur Fd d'infection (1ère intervention  à l'HSC),AMO sur Fd d'infection (1ère intervention  à l'HSC),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
9c2c3ba9-5240-421e-a53f-2159f0243c79,,,AMO sur Fd d'infection (1ère intervention hors de l'HSC),AMO sur Fd d'infection (1ère intervention hors de l'HSC),AMO sur Fd d'infection (1ère intervention hors de l'HSC),AMO sur Fd d'infection (1ère intervention hors de l'HSC),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
97ccf29b-b949-462f-b4bd-95efdd3e7441,,,Amputation bras,Amputation bras,Amputation bras,Amputation bras,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
a9283050-20d3-4fc3-8172-d2c49c54f36c,,,"Amputation Doigts ","Amputation Doigts ","Amputation Doigts ","Amputation Doigts ",,,Orthopedics and Traumatology,Text,,,,,,,,,,,
32c7a6ce-b7f3-48ff-ad9c-79df4ca49360,,,Amputation du pied (lis franc),Amputation du pied (lis franc),Amputation du pied (lis franc),Amputation du pied (lis franc),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
a69d88b1-281b-4535-a431-809e4fae535c,,,Amputation orteil,Amputation orteil,Amputation orteil,Amputation orteil,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
3adfe531-3235-4c45-8661-4994c497cc38,,,Amputation Phalange,Amputation Phalange,Amputation Phalange,Amputation Phalange,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
eb6fcf84-19f0-4ed3-ac7e-1d7a772d01a9,,,Amputation trans huméral,Amputation trans huméral,Amputation trans huméral,Amputation trans huméral,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
93c675b4-d25f-484d-96fd-194d8ed98d4d,,,Amputation trans radio-ulnaire,Amputation trans radio-ulnaire,Amputation trans radio-ulnaire,Amputation trans radio-ulnaire,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
8f091125-e6cb-4204-b7be-b44737ad7bd4,,,Amputation trans tibial,Amputation trans tibial,Amputation trans tibial,Amputation trans tibial,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
12f65ae5-730d-49dc-a26f-b79ae32e9398,,,Amputation transfémoral,Amputation transfémoral,Amputation transfémoral,Amputation transfémoral,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
a587d6dc-03f3-478e-806c-a6e8ee7c2e82,,,Amputation transmetatarsienne,Amputation transmetatarsienne,Amputation transmetatarsienne,Amputation transmetatarsienne,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
ab82c53f-9065-472d-a988-e22eba553962,,,Arthrodèse de la cheville,Arthrodèse de la cheville,Arthrodèse de la cheville,Arthrodèse de la cheville,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
ed521b03-4b1d-4ea9-98c2-3251bbd50c1d,,,Arthrodèse du coude,Arthrodèse du coude,Arthrodèse du coude,Arthrodèse du coude,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
