Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
5024f465-3b7c-477c-baf1-cfbe5a9507a1,,,Hospitalisation Adulte,Hospitalisation Adulte,Hospitalisation Adulte,Hospitalisation Adulte,,,Misc,Text,,,,,,,,,,,
61d073e5-c794-431e-91ae-8d6aa53a6d93,,,Hospitalisation Pédiatrique,Hospitalisation Pédiatrique,Hospitalisation Pédiatrique,Hospitalisation Pédiatrique,,,Misc,Text,,,,,,,,,,,
e1ce77e7-18de-4da4-b63b-5e9b96eb6bb6,,,Hospitalisation Soins intensifs,Hospitalisation Soins intensifs,Hospitalisation Soins intensifs,Hospitalisation Soins intensifs,,,Misc,Text,,,,,,,,,,,
f0ae601c-bee9-4d0c-8189-7c0e7da73108,,,Patient en Observation,Patient en Observation,Patient en Observation,Patient en Observation,,,Misc,Text,,,,,,,,,,,
e3324f1d-3d7a-4a9c-8091-a3b215de8683,,,Kit d'admission,Kit d'admission,Kit d'admission,Kit d'admission,,,Misc,Text,,,,,,,,,,,
8f64058c-3460-4638-8a7a-fda268984ce2,,,Autres cliniques,Autres cliniques,Autres cliniques,Autres cliniques,,,Misc,Text,,,,,,,,,,,
1a017ec6-3b32-4360-b1af-3e24fa8035b0,,,Frais de Consultation generale,Frais de Consultation generale,Frais de Consultation generale,Frais de Consultation generale,,,Misc,Text,,,,,,,,,,,
2e01fc73-0f15-4896-a60a-de680316f0c1,,,Frais de consultation Specialisee,Frais de consultation Specialisee,Frais de consultation Specialisee,Frais de consultation Specialisee,,,Misc,Text,,,,,,,,,,,
743e1976-2c7d-4d59-a35d-be72ba6b2478,,,Consultation cardiaque,Consultation cardiaque,Consultation cardiaque,Consultation cardiaque,,,Misc,Text,,,,,,,,,,,
fac5f9d8-8947-4ad1-97d1-8aafde11e226,,,Consultation chirurgie générale,Consultation chirurgie générale,Consultation chirurgie générale,Consultation chirurgie générale,,,Misc,Text,,,,,,,,,,,
e67ed0f7-486e-44a0-84a8-530fead30d30,,,Consultation dermatologie,Consultation dermatologie,Consultation dermatologie,Consultation dermatologie,,,Misc,Text,,,,,,,,,,,
b48c6d6c-0a84-4b6c-b728-af46ca8ad10c,,,Consultation diabétique,Consultation diabétique,Consultation diabétique,Consultation diabétique,,,Misc,Text,,,,,,,,,,,
df2df8ef-6d62-4038-bce3-ed1080c2b7ac,,,Consultation gynécologie,Consultation gynécologie,Consultation gynécologie,Consultation gynécologie,,,Misc,Text,,,,,,,,,,,
0c4edcfc-b7a3-4e8f-ac0f-eff8d9a69872,,,Consultation maternité,Consultation maternité,Consultation maternité,Consultation maternité,,,Misc,Text,,,,,,,,,,,
1fa10221-9c6d-47c4-ae6f-552b7b421ae7,,,Consultation maxillo-faciale,Consultation maxillo-faciale,Consultation maxillo-faciale,Consultation maxillo-faciale,,,Misc,Text,,,,,,,,,,,
af9e7953-8b16-4b5b-8a91-0be1c1dc0453,,,Consultation ophtalmologie,Consultation ophtalmologie,Consultation ophtalmologie,Consultation ophtalmologie,,,Misc,Text,,,,,,,,,,,
fb4238de-e5b0-4b66-b412-28c4113ec357,,,Consultation orthopedie,Consultation orthopedie,Consultation orthopedie,Consultation orthopedie,,,Misc,Text,,,,,,,,,,,
9ecf8126-8b2d-4414-a3b1-98e92e428bd8,,,Consultation pédiatrique,Consultation pédiatrique,Consultation pédiatrique,Consultation pédiatrique,,,Misc,Text,,,,,,,,,,,
2c6e8060-5403-4ffb-a6f5-7a9aac3bbbaf,,,Consultation platique,Consultation platique,Consultation platique,Consultation platique,,,Misc,Text,,,,,,,,,,,
3917ada0-5698-4756-8a59-e909fbac9a0b,,,Consultation pré-natale,Consultation pré-natale,Consultation pré-natale,Consultation pré-natale,,,Misc,Text,,,,,,,,,,,
39093657-4441-4976-bbab-2d910cb7443e,,,Consultation urologie,Consultation urologie,Consultation urologie,Consultation urologie,,,Misc,Text,,,,,,,,,,,
0526d6c7-96c8-454d-92de-04b4bb291eba,,,Consultation Odontologie,Consultation Odontologie,Consultation Odontologie,Consultation Odontologie,,,Misc,Text,,,,,,,,,,,
8629a427-e685-4cac-a820-cfe9f505d171,,,Consultation Médecine Interne,Consultation Médecine Interne,Consultation Médecine Interne,Consultation Médecine Interne,,,Misc,Text,,,,,,,,,,,
