Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
80ed3b50-0116-4eef-b55a-be234ab44478,,,Bec de lièvre Réparation,Bec de lièvre Réparation,Bec de lièvre Réparation,Bec de lièvre Réparation,,,Surgery,Text,,,,,,,,,,,
229c5e7d-00b4-4de5-a754-9da64bac9099,,,Chéloide Multiple,Chéloide Multiple,Chéloide Multiple,Chéloide Multiple,,,Surgery,Text,,,,,,,,,,,
4db771df-22bf-46e2-afb6-2f7b78a567bf,,,Excision Chéloide +Réparation esthetique,Excision Chéloide +Réparation esthetique,Excision Chéloide +Réparation esthetique,Excision Chéloide +Réparation esthetique,,,Surgery,Text,,,,,,,,,,,
e2e535b9-637d-4ba1-90db-a18c8a786d4e,,,Fissure palatine Réparation,Fissure palatine Réparation,Fissure palatine Réparation,Fissure palatine Réparation,,,Surgery,Text,,,,,,,,,,,
c82b7334-099d-4199-bce1-ffe156887efd,,,Hémangiome fesse ou Neuro-fibromateux fesse,Hémangiome fesse ou Neuro-fibromateux fesse,Hémangiome fesse ou Neuro-fibromateux fesse,Hémangiome fesse ou Neuro-fibromateux fesse,,,Surgery,Text,,,,,,,,,,,
598b4e67-b605-45c9-9bf5-1877cf21211b,,,Plastie Vaginale,Plastie Vaginale,Plastie Vaginale,Plastie Vaginale,,,Surgery,Text,,,,,,,,,,,
e7008425-9ac2-47d1-84d7-5ec0de8f0d9f,,,Reconstruction Cuisse,Reconstruction Cuisse,Reconstruction Cuisse,Reconstruction Cuisse,,,Surgery,Text,,,,,,,,,,,
ab74e533-9e8d-467b-a329-3c42730275bc,,,Reconstruction Abdomen,Reconstruction Abdomen,Reconstruction Abdomen,Reconstruction Abdomen,,,Surgery,Text,,,,,,,,,,,
4de2d738-dfe8-4fe8-a6d9-4401eba8c534,,,Reconstruction Cou,Reconstruction Cou,Reconstruction Cou,Reconstruction Cou,,,Surgery,Text,,,,,,,,,,,
321408b0-2d73-4c8d-86df-14920395967c,,,Reconstruction Dos,Reconstruction Dos,Reconstruction Dos,Reconstruction Dos,,,Surgery,Text,,,,,,,,,,,
006a3b54-7d55-415d-868d-493aab21cdf8,,,Reconstruction Face,Reconstruction Face,Reconstruction Face,Reconstruction Face,,,Surgery,Text,,,,,,,,,,,
8876184d-ac8c-4a24-a659-76e94ca339db,,,Reconstruction Pied (ortho),Reconstruction Pied (ortho),Reconstruction Pied (ortho),Reconstruction Pied (ortho),,,Surgery,Text,,,,,,,,,,,
931112b7-714c-404e-8d42-dd4fdc6c7214,,,Reconstruction Tendon d'Achille (ortho),Reconstruction Tendon d'Achille (ortho),Reconstruction Tendon d'Achille (ortho),Reconstruction Tendon d'Achille (ortho),,,Surgery,Text,,,,,,,,,,,
975111ff-d4b6-4a34-ae61-a5e738dcb39d,,,Reconstruction Thorax,Reconstruction Thorax,Reconstruction Thorax,Reconstruction Thorax,,,Surgery,Text,,,,,,,,,,,
3c0bc91e-4e5b-446f-b20d-c5656f96870b,,,Réduction Mammaire,Réduction Mammaire,Réduction Mammaire,Réduction Mammaire,,,Surgery,Text,,,,,,,,,,,
5a10c48c-6b84-4ad1-87ec-e8e902f18ab9,,,Skin Graft Petite étendue,Skin Graft Petite étendue,Skin Graft Petite étendue,Skin Graft Petite étendue,,,Surgery,Text,,,,,,,,,,,
93485053-fe58-44f6-b95d-d8bbf6c26ff6,,,Skin Graft grande étendue,Skin Graft grande étendue,Skin Graft grande étendue,Skin Graft grande étendue,,,Surgery,Text,,,,,,,,,,,
