Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
e354e5a6-0f74-4e69-a5d8-6fdd3ca4bcc2,,,Ablation des Agraffes,Ablation des Agraffes,Ablation des Agraffes,Ablation des Agraffes,,,Procedure,Text,,,,,,,,,,,
7a29215f-157d-438f-9cf5-aa8e90452018,,,Ablation des fils de suture,Ablation des fils de suture,Ablation des fils de suture,Ablation des fils de suture,,,Procedure,Text,,,,,,,,,,,
4d3bbd1d-80ea-4013-b527-2e00e614ca5a,,,Cathetérisme ombilicale,Cathetérisme ombilicale,Cathetérisme ombilicale,Cathetérisme ombilicale,,,Procedure,Text,,,,,,,,,,,
ebcae73e-8afa-43f5-9f76-5035233f622d,,,Cathetérisme vesical continu,Cathetérisme vesical continu,Cathetérisme vesical continu,Cathetérisme vesical continu,,,Procedure,Text,,,,,,,,,,,
88c71bfc-592f-4147-acfd-adac65fac894,,,Cathetérisme vesical intermitent,Cathetérisme vesical intermitent,Cathetérisme vesical intermitent,Cathetérisme vesical intermitent,,,Procedure,Text,,,,,,,,,,,
9e95f5f8-a0cf-4136-963a-9f3aafcc2878,,,CPAP/par jour,CPAP/par jour,CPAP/par jour,CPAP/par jour,,,Procedure,Text,,,,,,,,,,,
5a4c17ce-8305-4ea4-baca-0db107ae5ec2,,,Cystoscopie,Cystoscopie,Cystoscopie,Cystoscopie,,,Procedure,Text,,,,,,,,,,,
65705411-b0b0-4f5f-bdd9-aa3a7fb64a25,,,Déplatrage court Menbres inf,Déplatrage court Menbres inf,Déplatrage court Menbres inf,Déplatrage court Menbres inf,,,Procedure,Text,,,,,,,,,,,
ab20b3e2-6502-4b36-80d5-241974bb458c,,,Déplatrage court Menbres sup,Déplatrage court Menbres sup,Déplatrage court Menbres sup,Déplatrage court Menbres sup,,,Procedure,Text,,,,,,,,,,,
4cb8969b-1005-4e96-84bf-485aa9c7c118,,,Déplatrage long Menbres inf,Déplatrage long Menbres inf,Déplatrage long Menbres inf,Déplatrage long Menbres inf,,,Procedure,Text,,,,,,,,,,,
6ca9d66f-fb17-4705-837e-b04269c142d8,,,Déplatrage long Menbres sup,Déplatrage long Menbres sup,Déplatrage long Menbres sup,Déplatrage long Menbres sup,,,Procedure,Text,,,,,,,,,,,
c78f9a34-e6cc-4149-8b94-26680d375e75,,,Mise en Echarpe,Mise en Echarpe,Mise en Echarpe,Mise en Echarpe,,,Procedure,Text,,,,,,,,,,,
ad9757f8-7419-4b4a-b563-8be18abcfad8,,,Enlèvement fixateur Externe-En clinique,Enlèvement fixateur Externe-En clinique,Enlèvement fixateur Externe-En clinique,Enlèvement fixateur Externe-En clinique,,,Procedure,Text,,,,,,,,,,,
0165c0ef-c91b-4a1c-b4bf-dbf5cdc59ca7,,,Ganglionique cyst. Inj.,Ganglionique cyst. Inj.,Ganglionique cyst. Inj.,Ganglionique cyst. Inj.,,,Procedure,Text,,,,,,,,,,,
a48e26fd-86de-4138-93ce-797387cfa569,,,Gaz sanguin,Gaz sanguin,Gaz sanguin,Gaz sanguin,,,Procedure,Text,,,,,,,,,,,
665d56c4-5f8f-4778-82ea-56498e3ab8c0,,,Incubateur/par jour,Incubateur/par jour,Incubateur/par jour,Incubateur/par jour,,,Procedure,Text,,,,,,,,,,,
97964dbf-d72e-4ada-875e-2deb1ead957e,,,Infiltration De Cortisone (médicament compris),Infiltration De Cortisone (médicament compris),Infiltration De Cortisone (médicament compris),Infiltration De Cortisone (médicament compris),,,Procedure,Text,,,,,,,,,,,
3cb744db-4e5e-4ee5-9f1c-3175140a3ba7,,,Insertion tube de levine,Insertion tube de levine,Insertion tube de levine,Insertion tube de levine,,,Procedure,Text,,,,,,,,,,,
87d3ea87-9870-4abf-85ed-b34395a5a535,,,Insertion voie veineuse centrale,Insertion voie veineuse centrale,Insertion voie veineuse centrale,Insertion voie veineuse centrale,,,Procedure,Text,,,,,,,,,,,
8f7bd871-b35d-46e7-ba15-4e144d9caf26,,,Lavage Vésical,Lavage Vésical,Lavage Vésical,Lavage Vésical,,,Procedure,Text,,,,,,,,,,,
2dfd45f6-d5e4-4fcf-8655-f54296618542,,,Manipulation,Manipulation,Manipulation,Manipulation,,,Procedure,Text,,,,,,,,,,,
a3821c14-47e2-4773-bc8c-f445ae6878a4,,,Masque à respirateur artificiel,Masque à respirateur artificiel,Masque à respirateur artificiel,Masque à respirateur artificiel,,,Procedure,Text,,,,,,,,,,,
52d8117e-9292-4258-af5d-a9b4b922788d,,,Nébulisation,Nébulisation,Nébulisation,Nébulisation,,,Procedure,Text,,,,,,,,,,,
f554ca87-d439-496f-9d4f-0c5cdba63a2d,,,Paracenthèse,Paracenthèse,Paracenthèse,Paracenthèse,,,Procedure,Text,,,,,,,,,,,
077e61b1-a964-40a8-a5e5-0c43805492cf,,,Photothérapie/par jour,Photothérapie/par jour,Photothérapie/par jour,Photothérapie/par jour,,,Procedure,Text,,,,,,,,,,,
73466d33-77a8-4b84-b991-23da71c7c549,,,Physiothérapie,Physiothérapie,Physiothérapie,Physiothérapie,,,Procedure,Text,,,,,,,,,,,
48ac6c8f-5a8e-4a05-92ed-4925fd7ea35c,,,Ponction Lombaire,Ponction Lombaire,Ponction Lombaire,Ponction Lombaire,,,Procedure,Text,,,,,,,,,,,
24b7b4ae-34a9-44ed-878f-a44500166caf,,,"Pose d'atelle court/membres inférieurs  ","Pose d'atelle court/membres inférieurs  ","Pose d'atelle court/membres inférieurs  ","Pose d'atelle court/membres inférieurs  ",,,Procedure,Text,,,,,,,,,,,
f5b7f6d6-192d-4bec-8617-729f4476b06d,,,"Pose d'atelle court/membres Supérieurs  ","Pose d'atelle court/membres Supérieurs  ","Pose d'atelle court/membres Supérieurs  ","Pose d'atelle court/membres Supérieurs  ",,,Procedure,Text,,,,,,,,,,,
9601b319-bea6-4ac3-a4fc-6b23259ad361,,,"Pose d'atelle long/membres inférieurs ","Pose d'atelle long/membres inférieurs ","Pose d'atelle long/membres inférieurs ","Pose d'atelle long/membres inférieurs ",,,Procedure,Text,,,,,,,,,,,
3ee64230-4498-4857-99ef-5a4ebc528795,,,"Pose d'atelle long/membres Supérieurs ","Pose d'atelle long/membres Supérieurs ","Pose d'atelle long/membres Supérieurs ","Pose d'atelle long/membres Supérieurs ",,,Procedure,Text,,,,,,,,,,,
f6a57ad8-21a2-4132-9ec8-c711f2193367,,,Pose d'atelle Postérieure ou 8 de Chiffre Adulte,Pose d'atelle Postérieure ou 8 de Chiffre Adulte,Pose d'atelle Postérieure ou 8 de Chiffre Adulte,Pose d'atelle Postérieure ou 8 de Chiffre Adulte,,,Procedure,Text,,,,,,,,,,,
a5be18cb-7385-4556-ada6-7083076715b0,,,Pose d'atelle Postérieure ou 8 de Chiffre Enfant,Pose d'atelle Postérieure ou 8 de Chiffre Enfant,Pose d'atelle Postérieure ou 8 de Chiffre Enfant,Pose d'atelle Postérieure ou 8 de Chiffre Enfant,,,Procedure,Text,,,,,,,,,,,
