Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
f6a2fd21-2c30-4354-9b7c-c5cd792f5796,,,Amputation Partielle de la Verge,Amputation Partielle de la Verge,Amputation Partielle de la Verge,Amputation Partielle de la Verge,,,Urology,Text,,,,,,,,,,,
76c19c5b-754d-4b2e-810d-e70115bd5fb4,,,Amputation Totale Verge,Amputation Totale Verge,Amputation Totale Verge,Amputation Totale Verge,,,Urology,Text,,,,,,,,,,,
163f759f-b4e9-428a-94e6-b3b32d0d55a2,,,Calcul Urétral,Calcul Urétral,Calcul Urétral,Calcul Urétral,,,Urology,Text,,,,,,,,,,,
5f922f68-2312-4f15-a250-cd2cd0f03418,,,Circoncision Adulte,Circoncision Adulte,Circoncision Adulte,Circoncision Adulte,,,Urology,Text,,,,,,,,,,,
0a51292e-cc89-412a-b15f-b09c25335afb,,,Circoncision Enfant,Circoncision Enfant,Circoncision Enfant,Circoncision Enfant,,,Urology,Text,,,,,,,,,,,
4a6df804-5163-49eb-9718-95c5a07d3b73,,,Cystectomie Partielle,Cystectomie Partielle,Cystectomie Partielle,Cystectomie Partielle,,,Urology,Text,,,,,,,,,,,
3cbd1669-2309-427f-97be-47332fe5889f,,,Cystectomie totale (Colposuspension de Burch),Cystectomie totale (Colposuspension de Burch),Cystectomie totale (Colposuspension de Burch),Cystectomie totale (Colposuspension de Burch),,,Urology,Text,,,,,,,,,,,
cbdb807b-2424-46e6-8d9c-6edb49ba3409,,,Cysto Urétéro-Lithotomie,Cysto Urétéro-Lithotomie,Cysto Urétéro-Lithotomie,Cysto Urétéro-Lithotomie,,,Urology,Text,,,,,,,,,,,
b63d1721-7a7c-4145-a894-fb95f88312e6,,,Decaillotage,Decaillotage,Decaillotage,Decaillotage,,,Urology,Text,,,,,,,,,,,
d1df8b82-e4a8-47b3-bfdb-7a9cfdddb696,,,"Dilatation Prépuciale  ","Dilatation Prépuciale  ","Dilatation Prépuciale  ","Dilatation Prépuciale  ",,,Urology,Text,,,,,,,,,,,
20ff23b8-2e88-43e9-8cb2-73f619024606,,,Dilatation Pyélo-Urétérale,Dilatation Pyélo-Urétérale,Dilatation Pyélo-Urétérale,Dilatation Pyélo-Urétérale,,,Urology,Text,,,,,,,,,,,
