Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
b60c5bd7-2856-4e34-aeb4-46c2ba0b2455,,,PAN1001 - Brulure entre 20 à 50% 1er pansement,PAN1001 - Brulure entre 20 à 50% 1er pansement,Brulure entre 20 à 50% 1er pansement,Brulure entre 20 à 50% 1er pansement,,,Wound Dressing,Text,,,,,,,,,,,
fdab607a-65e6-4cde-8a4a-cc97ba0eb63a,,,PAN1002 - Brulure entre 20 à 50%,PAN1002 - Brulure entre 20 à 50%,Brulure entre 20 à 50%,"Brulure entre 20 à 50%  ",,,Wound Dressing,Text,,,,,,,,,,,
b9fa88ca-38e1-4c8e-8757-4d1437346ba4,,,PAN1003 - Brulure entre >50%  1er pansement,PAN1003 - Brulure entre >50%  1er pansement,Brulure entre >50%  1er pansement,Brulure entre >50%  1er pansement,,,Wound Dressing,Text,,,,,,,,,,,
57c82de8-fbd9-472f-bb81-298e3c760bd4,,,PAN1004 - Brulure entre >50%,PAN1004 - Brulure entre >50%,Brulure entre >50%,"Brulure entre >50%  ",,,Wound Dressing,Text,,,,,,,,,,,
d7470b17-5471-4e7f-b125-2cf45d746ce2,,,PAN1005 - Débridement Brulure entre 20 à 50%,PAN1005 - Débridement Brulure entre 20 à 50%,Débridement Brulure entre 20 à 50%,Débridement Brulure entre 20 à 50%,,,Wound Dressing,Text,,,,,,,,,,,
7b2b3608-3722-49b4-bdf3-c744c5b31df8,,,PAN1006 - Débridement Brulure >50%,PAN1006 - Débridement Brulure >50%,Débridement Brulure >50%,Débridement Brulure >50%,,,Wound Dressing,Text,,,,,,,,,,,
d1fc1d0d-9286-4080-97aa-76fd633fd0e5,,,PAN1007 - Brûlure < 10%.  Premier Pansement,PAN1007 - Brûlure < 10%.  Premier Pansement,Brûlure < 10%.  Premier Pansement,Brûlure < 10%.  Premier Pansement,,,Wound Dressing,Text,,,,,,,,,,,
2c771270-4a5e-4c7a-ba4c-df85afc7ebbc,,,PAN1008 - Brûlure < 10%,PAN1008 - Brûlure < 10%,Brûlure < 10%,Brûlure < 10%,,,Wound Dressing,Text,,,,,,,,,,,
6c1387a7-76b2-4f94-99b5-ce8ed81b7b4b,,,PAN1009 - Brûlure entre 10 et 20% Premier Pansement,PAN1009 - Brûlure entre 10 et 20% Premier Pansement,Brûlure entre 10 et 20% Premier Pansement,"Brûlure entre 10 et 20% Premier Pansement ",,,Wound Dressing,Text,,,,,,,,,,,
2e2ad3d8-7433-4bcf-8a3d-6182b0ff019e,,,PAN1010 - Brûlure entre < 20%. Premier Pansement,PAN1010 - Brûlure entre < 20%. Premier Pansement,Brûlure entre < 20%. Premier Pansement,Brûlure entre < 20%. Premier Pansement,,,Wound Dressing,Text,,,,,,,,,,,
