Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
3cef2071-48a2-4b16-a787-5f132139771f,,,PAN2001 - Brulure entre 20 à 50% 1er pansement,PAN2001 - Brulure entre 20 à 50% 1er pansement,Brulure entre 20 à 50% 1er pansement,Brulure entre 20 à 50% 1er pansement,,,Wound Dressing,Text,,,,,,,,,,,
7d2f5b5f-2d10-4af3-9581-5bb5690ffe59,,,PAN2002 - Brulure entre 20 à 50%,PAN2002 - Brulure entre 20 à 50%,Brulure entre 20 à 50%,"Brulure entre 20 à 50%  ",,,Wound Dressing,Text,,,,,,,,,,,
8ba1e204-507a-498f-986f-3c454fa82018,,,PAN2003 - Brulure entre >50%  1er pansement,PAN2003 - Brulure entre >50%  1er pansement,Brulure entre >50%  1er pansement,Brulure entre >50%  1er pansement,,,Wound Dressing,Text,,,,,,,,,,,
8b12c191-639b-4a91-99ec-846021474859,,,PAN2004 - Brulure entre >50%,PAN2004 - Brulure entre >50%,Brulure entre >50%,"Brulure entre >50%  ",,,Wound Dressing,Text,,,,,,,,,,,
315605f7-7a7b-4f85-b6d3-55a9fd5acd65,,,PAN2005 - Débridement Brulure entre 20 à 50%,PAN2005 - Débridement Brulure entre 20 à 50%,Débridement Brulure entre 20 à 50%,Débridement Brulure entre 20 à 50%,,,Wound Dressing,Text,,,,,,,,,,,
fb5f4a69-f209-442f-8f5e-ac88a1f87daa,,,PAN2006 - Débridement Brulure >50%,PAN2006 - Débridement Brulure >50%,Débridement Brulure >50%,Débridement Brulure >50%,,,Wound Dressing,Text,,,,,,,,,,,
03c6fdc2-b80b-44f5-9727-88a0220bcf14,,,PAN2007 - Brûlure < 10%.  Premier Pansement,PAN2007 - Brûlure < 10%.  Premier Pansement,Brûlure < 10%.  Premier Pansement,Brûlure < 10%.  Premier Pansement,,,Wound Dressing,Text,,,,,,,,,,,
74d5797d-b5c7-48a8-ac0f-b16cd1faae39,,,PAN2008 - Brûlure < 10%,PAN2008 - Brûlure < 10%,Brûlure < 10%,Brûlure < 10%,,,Wound Dressing,Text,,,,,,,,,,,
ba5f9e00-eab3-470b-8385-6844e9b47414,,,PAN2009 - Brûlure entre 10 et 20% Premier Pansement,PAN2009 - Brûlure entre 10 et 20% Premier Pansement,Brûlure entre 10 et 20% Premier Pansement,"Brûlure entre 10 et 20% Premier Pansement ",,,Wound Dressing,Text,,,,,,,,,,,
5564bebe-6655-482c-80b1-a8bd4d504b71,,,PAN2010 - Brûlure entre < 20%. Premier Pansement,PAN2010 - Brûlure entre < 20%. Premier Pansement,Brûlure entre < 20%. Premier Pansement,Brûlure entre < 20%. Premier Pansement,,,Wound Dressing,Text,,,,,,,,,,,
