Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
9377261f-51f4-49fa-88d5-22d700ef451a,,,Adénoïdectomie,Adénoïdectomie,Adénoïdectomie,Adénoïdectomie,,,ENT,Text,,,,,,,,,,,
766ae395-936c-4dba-8af1-81e4337c95f7,,,Exérèse Adénopathie Cervicale,Exérèse Adénopathie Cervicale,Exérèse Adénopathie Cervicale,Exérèse Adénopathie Cervicale,,,ENT,Text,,,,,,,,,,,
3f0004ae-3358-44a7-99fc-d4962e814165,,,Biopsie du Cou,Biopsie du Cou,Biopsie du Cou,Biopsie du Cou,,,ENT,Text,,,,,,,,,,,
53a644ff-11f4-4056-b7bd-7d6de26d5ec4,,,Enlèvement de Corps étranger (Oesophage),Enlèvement de Corps étranger (Oesophage),Enlèvement de Corps étranger (Oesophage),Enlèvement de Corps étranger (Oesophage),,,ENT,Text,,,,,,,,,,,
d98ab98f-e4d2-4768-8ea9-0dc4cf3ce64d,,,Amygdalectomie,Amygdalectomie,Amygdalectomie,Amygdalectomie,,,ENT,Text,,,,,,,,,,,
eeb17000-c550-4ebc-bce6-3d8511c826b8,,,Exérèse Glande Salivaire,Exérèse Glande Salivaire,Exérèse Glande Salivaire,Exérèse Glande Salivaire,,,ENT,Text,,,,,,,,,,,
641adb47-4762-409c-bfb6-1459d43c69d9,,,Thyroïdectomie,Thyroïdectomie,Thyroïdectomie,Thyroïdectomie,,,ENT,Text,,,,,,,,,,,
ef09e691-be97-4342-9f7c-13b3d2c99c57,,,Hydrocephalus,Hydrocephalus,Hydrocephalus,Hydrocephalus,,,ENT,Text,,,,,,,,,,,
6521905f-f2f6-4e2b-9e60-81875b8360c0,,,Lympanoplastie,Lympanoplastie,Lympanoplastie,Lympanoplastie,,,ENT,Text,,,,,,,,,,,
81af7d7e-da97-476c-9608-6970fb14619f,,,Réparation de l'Oreille,Réparation de l'Oreille,Réparation de l'Oreille,Réparation de l'Oreille,,,ENT,Text,,,,,,,,,,,
fdc68407-9e0c-4027-8db7-195181902fcd,,,Parotidectomie,Parotidectomie,Parotidectomie,Parotidectomie,,,ENT,Text,,,,,,,,,,,
8471106c-fa95-4df2-b764-04d777799b21,,,Polypectomie,Polypectomie,Polypectomie,Polypectomie,,,ENT,Text,,,,,,,,,,,
6f1fd0cb-32cd-4d5a-a07a-00e0d8709cd2,,,Exérèse kyste Tyro-Glossale,Exérèse kyste Tyro-Glossale,Exérèse kyste Tyro-Glossale,Exérèse kyste Tyro-Glossale,,,ENT,Text,,,,,,,,,,,
3b95e2db-954a-4afe-93da-fdda66dc280e,,,Frenelectomy,Frenelectomy,Frenelectomy,Frenelectomy,,,ENT,Text,,,,,,,,,,,
d59a83ee-b5d0-45ad-b8d4-53d119b8cfa8,,,Hémi-Glossectomie,Hémi-Glossectomie,Hémi-Glossectomie,Hémi-Glossectomie,,,ENT,Text,,,,,,,,,,,
3c25dfeb-e488-4539-ab64-1494d77e5616,,,Hémi-Mandibulectomie,Hémi-Mandibulectomie,Hémi-Mandibulectomie,Hémi-Mandibulectomie,,,ENT,Text,,,,,,,,,,,
f7004b3a-2f3f-40c2-9203-fa8d24b4783b,,,Hémi-Maxillectomie,Hémi-Maxillectomie,Hémi-Maxillectomie,Hémi-Maxillectomie,,,ENT,Text,,,,,,,,,,,
447cd68e-fd33-407d-ac5c-24c81b992816,,,Incision Phlegmon Péri-Amygdalien,Incision Phlegmon Péri-Amygdalien,Incision Phlegmon Péri-Amygdalien,Incision Phlegmon Péri-Amygdalien,,,ENT,Text,,,,,,,,,,,
dd0f49ca-8001-4c72-b211-e355be8d7a8b,,,Laryngectomie sub-totale,Laryngectomie sub-totale,Laryngectomie sub-totale,Laryngectomie sub-totale,,,ENT,Text,,,,,,,,,,,
f81e2d32-3b72-49aa-a199-19602d1588a7,,,Laryngectomie totale,Laryngectomie totale,Laryngectomie totale,Laryngectomie totale,,,ENT,Text,,,,,,,,,,,
d3543e8f-1561-43be-9f96-2b1bed0d83fe,,,Laryngoscopie,Laryngoscopie,Laryngoscopie,Laryngoscopie,,,ENT,Text,,,,,,,,,,,
dfa04c22-bf42-4e63-9878-424af28faf1c,,,Ligature carotide externe,Ligature carotide externe,Ligature carotide externe,Ligature carotide externe,,,ENT,Text,,,,,,,,,,,
b8506576-7359-4adf-96f0-e5400b5087a2,,,Réparation Plaie de face (petite étendue),Réparation Plaie de face (petite étendue),Réparation Plaie de face (petite étendue),Réparation Plaie de face (petite étendue),,,ENT,Text,,,,,,,,,,,
777485b9-9bc5-4b84-a575-2cb08a074328,,,Réparation Plaie de face (grande étendue),Réparation Plaie de face (grande étendue),Réparation Plaie de face (grande étendue),Réparation Plaie de face (grande étendue),,,ENT,Text,,,,,,,,,,,
908b995d-9dcc-4356-b45c-27e66a9577a3,,,Réparation Plaie de langue,Réparation Plaie de langue,Réparation Plaie de langue,Réparation Plaie de langue,,,ENT,Text,,,,,,,,,,,
6b401cef-025d-4ad9-bdfd-9951941d633e,,,Réparation Plaie de la Lèvre,Réparation Plaie de la Lèvre,Réparation Plaie de la Lèvre,Réparation Plaie de la Lèvre,,,ENT,Text,,,,,,,,,,,
