Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
a1937e67-6e4e-4296-8a4c-255cd38fd1dc,,,Abaisse langue,Abaisse langue,Abaisse langue,Abaisse langue,,,Material,Text,,,,,,,,,,,
025139ec-2b0e-405a-ba33-465de641ca9f,,,Adhesive  5cmx5m,Adhesive  5cmx5m,Adhesive  5cmx5m,Adhesive  5cmx5m,,,Material,Text,,,,,,,,,,,
90165e66-615d-4219-ba2c-50ed46a51bff,,,Adhesive 5cm x 9m,Adhesive 5cm x 9m,Adhesive 5cm x 9m,Adhesive 5cm x 9m,,,Material,Text,,,,,,,,,,,
4d452d67-8e9c-45a3-a381-d4205f19b853,,,Aiguille 18 G,Aiguille 18 G,Aiguille 18 G,Aiguille 18 G,,,Material,Text,,,,,,,,,,,
3be2f188-642d-42f9-b6a2-8567e69bf966,,,Aiguille 20 G,Aiguille 20 G,Aiguille 20 G,Aiguille 20 G,,,Material,Text,,,,,,,,,,,
2995e6f8-b62c-405e-8694-c4b0d90e9fe4,,,Aiguille 21 G,Aiguille 21 G,Aiguille 21 G,Aiguille 21 G,,,Material,Text,,,,,,,,,,,
7d1dad88-eb5f-45cd-aa87-8e3a64a5746d,,,Aiguille 22 G,Aiguille 22 G,Aiguille 22 G,Aiguille 22 G,,,Material,Text,,,,,,,,,,,
09372966-fb10-48ef-a828-40ad3a9b7799,,,Aiguille 23 G,Aiguille 23 G,Aiguille 23 G,Aiguille 23 G,,,Material,Text,,,,,,,,,,,
ee034304-4dd7-41e3-bb21-6fe9b3570d81,,,Aiguille 25 G,Aiguille 25 G,Aiguille 25 G,Aiguille 25 G,,,Material,Text,,,,,,,,,,,
f5e34bb6-7535-4a36-989e-210ee73f5a21,,,Aiguille 27 G,Aiguille 27 G,Aiguille 27 G,Aiguille 27 G,,,Material,Text,,,,,,,,,,,
956cd856-cc95-4bfd-a540-353b91ff68f7,,,Aiguille 29G,Aiguille 29G,Aiguille 29G,Aiguille 29G,,,Material,Text,,,,,,,,,,,
