Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1065,True,Vrai,True,Vrai,,,Misc,N/A,,,,,,,,,,,
1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1066,False,Faux,False,Faux,,,Misc,N/A,,,,,,,,,,,
162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:162335,Ampule(s),Ampoule(s),Ampule(s),Ampoule(s),,,Units of Measure,N/A,,,,,,,,,,,
1098AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,Monthly,Mensuellement,Monthly,Mensuellement,,,Frequency,N/A,,,,,,,,,,,
1099AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1099,Weekly,Hebdomadaire,Weekly,Hebdomadaire,,,Frequency,N/A,,,,,,,,,,,
160240AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:160240,Oral,Oral,Oral,Oral,,,Misc,N/A,,,,,,,,,,,
160241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:160241,Inhalation,Inhalation,Inhalation,Inhalation,,,Misc,N/A,,,,,,,,,,,
160243AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:160243,Intramuscular,Intramusculaire,Intramuscular,Intramusculaire,,,Misc,N/A,,,,,,,,,,,
160242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:160242,Intravenous,Intraveineuse,Intravenous,Intraveineuse,,,Misc,N/A,,,,,,,,,,,
160245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:160245,Subcutaneous,Sous-cutanee,Subcutaneous,Sous-cutanee,,,Misc,N/A,,,,,,,,,,,
5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:5622,Other,Autre,Other,Autre,,,Misc,N/A,,,,,,,,,,,
1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,None,Aucun,None,Aucun,,,Misc,N/A,,,,,,,,,,,
1175AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1175,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Misc,N/A,,,,,,,,,,,
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1067,Unknown,Inconnu,Unknown,Inconnu,,,Misc,N/A,,,,,,,,,,,
1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1115,Normal,Normal,Normal,Normal,,,Misc,N/A,,,,,,,,,,,
1116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1116,Abnormal,Abnormal,Abnormal,Abnormal,,,Misc,N/A,,,,,,,,,,,
21eced40-aa0d-47a7-bb9a-a5a3fc51a184,TRUE,CIEL:1640,Date,Date,Date,Date,,,Misc,Date,,,,,,,,,,,
151AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:153551,Abdominal pain,Douleurs abdominales,Abdominal pain,Douleurs abdominales,,,Symptom,N/A,,,,,,,,,,,
140238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,Fever,Fièvre,Fever,Fièvre,,,Diagnosis,Coded,,,,,,,,,,,
125198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:125198,Swollen feet,Pieds gonflés,Swollen feet,Pieds gonflés,,,Diagnosis,N/A,,,,,,,,,,,
147232AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:147232,Vaginal bleeding,Saignements vaginaux,Vaginal bleeding,Saignements vaginaux,,,Diagnosis,Coded,,,,,,,,,,,
1074AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1074;SNOMED:258706009,Month(s),Mois,Month(s),Mois,,,Misc,N/A,,,,,,,,,,,
1072AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1072;SNOMED:258703001,Day(s),Jour(s),Day(s),Jour(s),,,Misc,N/A,,,,,,,,,,,
1073AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,"CIEL:1073;SNOMED:258705008 ",Week(s),Semaine(s),Week(s),Semaine(s),,,Misc,N/A,,,,,,,,,,,
1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1499,Moderate,Modéré,Moderate,Modéré,,,Finding,N/A,,,,,,,,,,,
1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1500,Severe,Sévère,Severe,Sévère,,,Finding,N/A,,,,,,,,,,,
159394AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,Diagnosis Certainty,Certitude du diagnostic,Diagnosis Certainty,Certitude du diagnostic,,,Finding,Coded,,,,,,,,,,,
159944AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,Secondary,Secondaire,Secondary,Secondaire,,,Misc,N/A,,,,,,,,,,,
159943AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,,Primary,Primaire,Primary,Primaire,,,Misc,N/A,,,,,,,,,,,
1362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1362,One plus,Un plus,One plus,Un plus,,,Finding,Boolean,,,,,,,,,,,
1363AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1363,Two plus,Deux plus,Two plus,Deux plus,,,Finding,Boolean,,,,,,,,,,,
1364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1364,Three plus,Trois plus,Three plus,Trois plus,,,Finding,Boolean,,,,,,,,,,,
1365AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRUE,CIEL:1365,Four plus,Quatre plus,Four plus,Quatre plus,,,Finding,Boolean,,,,,,,,,,,
